Clave,Grupo -> Nombre
20600716111,"QUIMICOS,ADITIVOS,AGUA PARA BATERIA,EMBELLEC"
20600313213,ADITIVOS
20600614021,ADITIVOS
20600812541,ACEITE MOTOS
20600120012,ADITIVOS
20600212075,ADITIVOS
125000400,PARTES VARIAS FRENOS
125000450,BANDAS AUTOMOTIZ
125010016,BANDAS A-B-C-D
125010017,BANDAS A-B-C-D
125010018,BANDAS A-B-C-D
125010019,BANDAS A-B-C-D
125010020,BANDAS A-B-C-D
125010021,BANDAS A-B-C-D
125010022,BANDAS A-B-C-D
125010023,BANDAS A-B-C-D
125010024,BANDAS A-B-C-D
125010025,BANDAS A-B-C-D
125010026,BANDAS A-B-C-D
125010027,BANDAS A-B-C-D
125010028,BANDAS A-B-C-D
125010029,BANDAS A-B-C-D
125010030,BANDAS A-B-C-D
125010031,BANDAS A-B-C-D
125010032,BANDAS A-B-C-D
125010033,BANDAS A-B-C-D
125010034,BANDAS A-B-C-D
125010035,BANDAS A-B-C-D
125010036,BANDAS A-B-C-D
125010037,BANDAS A-B-C-D
125010038,BANDAS A-B-C-D
125010039,BANDAS A-B-C-D
125010040,BANDAS A-B-C-D
125010041,BANDAS A-B-C-D
125010042,BANDAS A-B-C-D
125010043,BANDAS A-B-C-D
125010044,BANDAS A-B-C-D
125010045,BANDAS A-B-C-D
125010046,BANDAS A-B-C-D
125010047,BANDAS A-B-C-D
125010048,BANDAS A-B-C-D
125010049,BANDAS A-B-C-D
125010050,BANDAS A-B-C-D
125010051,BANDAS A-B-C-D
125010052,BANDAS A-B-C-D
125010053,BANDAS A-B-C-D
125010054,BANDAS A-B-C-D
125010055,BANDAS A-B-C-D
125010056,BANDAS A-B-C-D
125010057,BANDAS A-B-C-D
125010058,BANDAS A-B-C-D
125010059,BANDAS A-B-C-D
125010060,BANDAS A-B-C-D
125010061,BANDAS A-B-C-D
125010062,BANDAS A-B-C-D
125010063,BANDAS A-B-C-D
125010064,BANDAS A-B-C-D
125010065,BANDAS A-B-C-D
125010066,BANDAS A-B-C-D
125010067,BANDAS A-B-C-D
125010068,BANDAS A-B-C-D
125010069,BANDAS A-B-C-D
125010070,BANDAS A-B-C-D
125010071,BANDAS A-B-C-D
125010072,BANDAS A-B-C-D
125010073,BANDAS A-B-C-D
125010074,BANDAS A-B-C-D
125010076,BANDAS A-B-C-D
125010077,BANDAS A-B-C-D
125010078,BANDAS A-B-C-D
125010079,BANDAS A-B-C-D
125010080,BANDAS A-B-C-D
125010081,BANDAS A-B-C-D
125010082,BANDAS A-B-C-D
125010083,BANDAS A-B-C-D
125010084,BANDAS A-B-C-D
125010085,BANDAS A-B-C-D
125010086,BANDAS A-B-C-D
125010087,BANDAS A-B-C-D
125010088,BANDAS A-B-C-D
125010089,BANDAS A-B-C-D
125010090,BANDAS A-B-C-D
125010091,BANDAS A-B-C-D
125010092,BANDAS A-B-C-D
125010093,BANDAS A-B-C-D
125010094,BANDAS A-B-C-D
125010095,BANDAS A-B-C-D
125010096,BANDAS A-B-C-D
125010097,BANDAS A-B-C-D
125010098,BANDAS A-B-C-D
125010099,BANDAS A-B-C-D
125010100,BANDAS A-B-C-D
125010103,BANDAS A-B-C-D
125010128,BANDAS A-B-C-D
12501510A0615C,BANDAS AUTOMOTIZ
12501510A0635C,BANDAS AUTOMOTIZ
12501510A0660C,BANDAS AUTOMOTIZ
12501510A0685C,BANDAS AUTOMOTIZ
12501510A0710C,BANDAS AUTOMOTIZ
12501510A0735C,BANDAS AUTOMOTIZ
12501510A0760C,BANDAS AUTOMOTIZ
12501510A0785C,BANDAS AUTOMOTIZ
